# Saved: 07-Mar-2013 10:25:21
*VERSION*1.100000
*ORIENTATION*1
*CHANNELS*11000000
*PDD*1

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
0,0,0,185,0.25003,1,-,-,-,-,-,-,
0,0,0,186,0.24836,1,-,-,-,-,-,-,
0,0,0,187,0.24669,1,-,-,-,-,-,-,
0,0,0,188,0.24502,1,-,-,-,-,-,-,
0,0,0,189,0.24335,1,-,-,-,-,-,-,
0,0,0,190,0.24168,1,-,-,-,-,-,-,
0,0,0,191,0.2401,1,-,-,-,-,-,-,
0,0,0,192,0.23851,1,-,-,-,-,-,-,
0,0,0,193,0.23692,1,-,-,-,-,-,-,
0,0,0,194,0.23534,1,-,-,-,-,-,-,
0,0,0,195,0.23375,1,-,-,-,-,-,-,
0,0,0,196,0.23217,1,-,-,-,-,-,-,
0,0,0,197,0.23058,1,-,-,-,-,-,-,
0,0,0,198,0.229,1,-,-,-,-,-,-,
0,0,0,199,0.22741,1,-,-,-,-,-,-,
0,0,0,200,0.22583,1,-,-,-,-,-,-,
